"Year","Variable","Value","Type"
2011,"Kom_Electricity",137358,"Actual"
2012,"Ind_Coal_and_coal_products",268466,"Actual"
2012,"Ind_Natural_gas",550757,"Actual"
2012,"Ind_Biofuels_and_waste",261428,"Actual"
2012,"Ind_Electricity",242806,"Actual"
2012,"Ind_Oil_and_oil_products",463174,"Actual"
2012,"RT_Oil_products",270310,"Actual"
2012,"RT_Natural_gas",772,"Actual"
2012,"RT_Biofuels_and_waste",344755,"Actual"
2012,"RT_Electricity",251010,"Actual"
2012,"Kom_Oil_products",48798,"Actual"
2012,"Kom_Natural_gas",9361,"Actual"
2012,"Kom_Biofuels_and_waste",8362,"Actual"
2012,"Kom_Electricity",150055,"Actual"
2013,"Ind_Coal_and_coal_products",309411,"Actual"
2013,"Ind_Natural_gas",527094,"Actual"
2013,"Ind_Biofuels_and_waste",271627,"Actual"
2013,"Ind_Electricity",259483,"Actual"
2013,"Ind_Oil_and_oil_products",396756,"Actual"
2013,"RT_Oil_products",292744,"Actual"
2013,"RT_Natural_gas",212,"Actual"
2013,"RT_Biofuels_and_waste",310421,"Actual"
2013,"RT_Electricity",269352,"Actual"
2013,"Kom_Oil_products",47124,"Actual"
2013,"Kom_Natural_gas",7827,"Actual"
2013,"Kom_Biofuels_and_waste",8320,"Actual"
2013,"Kom_Electricity",165416,"Actual"
2014,"Ind_Coal_and_coal_products",267400,"Actual"
2014,"Ind_Natural_gas",513761,"Actual"
2014,"Ind_Biofuels_and_waste",276453,"Actual"
2014,"Ind_Electricity",273260,"Actual"
2014,"Ind_Oil_and_oil_products",438853,"Actual"
2014,"RT_Oil_products",305982,"Actual"
2014,"RT_Natural_gas",542,"Actual"
2014,"RT_Biofuels_and_waste",290264,"Actual"
2014,"RT_Electricity",294274,"Actual"
2014,"Kom_Oil_products",43576,"Actual"
2014,"Kom_Natural_gas",7967,"Actual"
2014,"Kom_Biofuels_and_waste",8276,"Actual"
2014,"Kom_Electricity",174985,"Actual"
2015,"Ind_Coal_and_coal_products",290178,"Actual"
2015,"Ind_Natural_gas",518277,"Actual"
2015,"Ind_Biofuels_and_waste",274251,"Actual"
2015,"Ind_Electricity",276017,"Actual"
2015,"Ind_Oil_and_oil_products",512643,"Actual"
2015,"RT_Oil_products",312672,"Actual"
2015,"RT_Natural_gas",851,"Actual"
2015,"RT_Biofuels_and_waste",239632,"Actual"
2015,"RT_Electricity",310669,"Actual"
2015,"Kom_Oil_products",33339,"Actual"
2015,"Kom_Natural_gas",7901,"Actual"
2015,"Kom_Biofuels_and_waste",8235,"Actual"
2015,"Kom_Electricity",180302,"Actual"
2016,"Ind_Coal_and_coal_products",348935,"Actual"
2016,"Ind_Natural_gas",503909,"Actual"
2016,"Ind_Biofuels_and_waste",269044,"Actual"
2016,"Ind_Electricity",296804,"Actual"
2016,"Ind_Oil_and_oil_products",307443,"Actual"
2016,"RT_Oil_products",319565,"Actual"
2016,"RT_Natural_gas",912,"Actual"
2016,"RT_Biofuels_and_waste",214754,"Actual"
2016,"RT_Electricity",328276,"Actual"
2016,"Kom_Oil_products",31761,"Actual"
2016,"Kom_Natural_gas",7005,"Actual"
2016,"Kom_Biofuels_and_waste",8198,"Actual"
2016,"Kom_Electricity",195206,"Actual"
2017,"Ind_Coal_and_coal_products",398688,"Actual"
2017,"Ind_Natural_gas",586767,"Actual"
2017,"Ind_Biofuels_and_waste",271265,"Actual"
2017,"Ind_Electricity",331040,"Actual"
